카테고리,메뉴명,영문명,설명,태그,베이스,토핑,추천/기본 드레싱,곡물 구성,채소 구성,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg),출처URL,비고
샐러디,탄단지 샐러디,Tandanji Salady,"부드러운 시즈닝 닭가슴살, 고구마 무스, 견과류, 크랜베리가 들어간 탄·단·지가 골고루 들어있는 샐러디 스테디 메뉴",,채소,"시즈닝 닭가슴살, 크랜베리, 스윗포테이토, 견과류",오리엔탈,,"로메인, 프릴아이스, 적채",322.9,34.3,17.6,17.9,13.1,2.0,225.3,https://salady.com/menu/list_1,
샐러디,치킨 콥 샐러디,Chicken Cobb Salady,"부드러운 시즈닝 닭가슴살, 옥수수, 올리브, 토마토, 슈레드치즈 등 다채로운 토핑에 산뜻한 저당 랜치 드레싱을 더한 샐러디만의 콥 샐러드",LOW SUGAR,채소,"시즈닝 닭가슴살, 에그, 옥수수, 올리브, 토마토, 슈레드치즈",(저당) 랜치,,"로메인, 프릴아이스, 적채",209.1,7.6,2.1,23.9,8.7,3.5,404.7,https://salady.com/menu/list_1,
샐러디,로스트닭다리살 샐러디,Roast Chicken Thigh Salady,"촉촉하고 쫄깃한 닭다리살과 단호박 무스, 할라피뇨, 옥수수 등 다양한 토핑이 어우러진 샐러디 베스트 메뉴",BEST,채소,"로스트 닭다리살, 단호박, 토마토, 양파, 옥수수, 할라피뇨,양파플레이크",크리미할라피뇨,,"로메인, 프릴아이스, 적채",259.2,29.7,12.2,13.2,9.6,3.9,471.9,https://salady.com/menu/list_1,
샐러디,그라브락스 연어 샐러디,Gravlax Salmon Salady,"북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 계란, 양파 등 토핑이 어우러져 신선한 풍미가 살아있는 샐러디 인기 메뉴",BEST|LOW SUGAR,채소,"그라브락스 연어, 에그, 양파, 당근라페, 엑스트라버진 올리브오일",(저당) 레몬허브,,"로메인, 프릴아이스, 적채",290.3,6.4,3.7,20.8,19.8,3.5,441.0,https://salady.com/menu/list_1,
샐러디,단호박 노릇두부 샐러디,Sweet Pumpkin Golden Tofu Salady,노릇하게 익혀 고소한 두부와 달콤한 단호박이 조화롭게 어우러진 비건 탄·단·지 메뉴,VEGAN|LOW SUGAR,채소,"두부, 단호박, 옥수수, 올리브, 당근라페, 적채",(저당) 발사믹,,"로메인, 프릴아이스, 적채",214.6,28.1,12.4,6.8,8.4,1.1,214.9,https://salady.com/menu/list_1,
샐러디,타코 쉬림프 샐러디,Taco Shrimp Salady,"신선한 채소에 맛있게 매콤한 탱글탱글 케이준 쉬림프, 고소한 그라운드 비프, 바삭한 나쵸칩, 상큼한 사워크림을 더해 타코 스타일로 즐기는 샐러디",,채소,"케이준 쉬림프, 할라피뇨, 옥수수, 양파, 그라운드비프, 나쵸칩, 사워크림",크리미칠리,,"로메인, 프릴아이스, 적채",192.1,11.6,2.9,15.7,9.2,3.0,572.6,https://salady.com/menu/list_1,
그레인볼,그라브락스 연어 포케볼,Gravlax Salmon Poke,"북유럽 전통 방식으로 숙성시켜 깊은 풍미와 쫄깃함이 가득한 그라브락스 연어와 통곡물, 에다마메, 후리가케 등 포케 토핑이 어우러져 더욱 풍성하게 완성한 샐러디 대표 포케 메뉴",BEST|LOW SUGAR,"곡물, 채소","그라브락스 연어, 양파플레이크, 양파, 적채, 후리가케, 옥수수, 엑스트라버진 올리브오일",(저당) 참깨소이,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",461.3,62.5,4.4,22.0,14.0,3.1,577.1,https://salady.com/menu/list_1,
그레인볼,칠리베이컨 포케볼,Chilli Bacon Poke,"베이컨, 계란, 옥수수의 고소함과 크리미칠리 소스의 매콤달콤맛의 조화가 통곡물, 적채, 후리가케 등 포케 토핑과 만나 더욱 풍성해진 샐러디 No.1 메뉴",BEST,"곡물, 채소","찹베이컨, 에그, 옥수수, 양파플레이크, 양파, 적채, 후리가케",크리미칠리,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",485.2,61.7,4.5,18.7,18.0,5.9,268.1,https://salady.com/menu/list_1,
그레인볼,우삼겹 포케볼,Beef Loin Poke,"감칠맛 가득한 간장 소스로 양념한 우삼겹에 쫄깃한 머쉬룸과 통곡물, 적채, 후리가케 등 포케 토핑을 더해 더욱 풍성해진 메뉴(추천 드레싱: 오리엔탈)",,"곡물, 채소","우삼겹, 머쉬룸, 양파, 적채, 후리가케, 양파플레이크, 옥수수",오리엔탈,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",618.1,68.0,6.2,21.2,29.8,8.6,226.0,https://salady.com/menu/list_1,
그레인볼,청양간장 두부 비빔밥,Chungyang Soy Tofu Bibimbap.,"노릇하게 익혀 고소한 두부와 알싸한 청양간장 드레싱에 머쉬룸, 당근라페, 적채 등의 토핑을 더한 캐쥬얼 한식풍 비빔밥",VEGAN,"곡물, 채소","두부, 머쉬룸, 양파, 적채, 당근라페, 견과류, 참기름, 청양간장 드레싱",청양간장 소스포함(*별도 드레싱 미제공),"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",604.0,71.7,6.0,17.8,28.1,3.7,923.2,https://salady.com/menu/list_1,
