카테고리,메뉴,설명,가격,이미지 링크
[신메뉴],고추장제육 포케볼,"제육은 못 참지! 매콤한 고추장제육에 머쉬룸, 양파플레이크, 적채, 후리가케 등의 토핑이 어우러져 든든한 제육 비빔밥st의 포케 (추천 드레싱: 고추장비빔) 고추장제육, 머쉬룸, 적채, 양파, 옥수수, 양파플레이크, 후리가케, 채소믹스, 곡물밥",9900,https://naverbooking-phinf.pstatic.net/20260727_281/1785110191617wJu6p_PNG/image.png?type=f220_220_60_sharpen
[신메뉴],고추장제육 들기름파스타 누들볼,제육은 못 참지! 매콤한 고추장제육에 풍미와 감칠맛을 더할 저당 들기름소이 드레싱이 어우러져 중독성 강한 K-제육 샐러드 파스타 (추천 드레싱: 오리엔탈),11600,https://naverbooking-phinf.pstatic.net/20260727_166/1785110130629On4M7_PNG/image.png?type=f220_220_60_sharpen
[신메뉴],고추장제육 간장메밀 누들볼,"제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",11400,https://naverbooking-phinf.pstatic.net/20260727_16/1785110166314Hdwx5_PNG/image.png?type=f220_220_60_sharpen
[신메뉴],고추장 제육 들기름파스타 누들볼 세트,"고추장제육 들기름파스타 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육에 풍미와 감칠맛을 더할 저당 들기름소이 드레싱이 어우러져 중독성 강한 K-제육 샐러드 파스타 (추천 드레싱: 오리엔탈)",14100,https://naverbooking-phinf.pstatic.net/20260727_130/1785110566753B4jqb_PNG/image.png?type=f220_220_60_sharpen
[신메뉴],고추장 제육 간장메밀 누들볼 세트,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",13900,https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,[프로틴] 비프에그마요 샌드위치 세트,"비프에그마요 샌드위치 + 카사바칩 + 코크제로
쫄깃한 통밀 치아바타 속 단짠 우삼겹과 고소하고 부드러운 에그마요가 어우러진 우삼겹 프로틴 치아바타 샌드위치 (포함 드레싱: 허니머스타드)",10100,https://naverbooking-phinf.pstatic.net/20260204_94/1770189724320pXhwB_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%BB%F7%B5%E5%C0%A7%C4%A1_%BA%F1%C7%C1%BF%A1%B1%D7%B8%B6%BF%E4.png?type=f220_220_60_sharpen
올데이 세트,[프로틴] 바질크림 치킨 샌드위치 세트,바질크림 치킨 샌드위치 + 카사바칩 + 코크제로 쫄깃한 통밀 치아바타 속 풍미 가득한 바질크림과 촉촉한 시즈닝 닭가슴살이 어우러져 든든한 치킨 프로틴 치아바타 샌드위치 (포함 드레싱: 바질페스토),10400,https://naverbooking-phinf.pstatic.net/20260727_223/1785110331258pOWjD_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,[프로틴] 치킨 반미 샌드위치 세트,"치킨 반미 샌드위치 + 카사바칩 + 코크제로
쫄깃한 통밀 치아바타 속 촉촉한 시즈닝 닭가슴살과 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치킨 프로틴 치아바타 샌드위치 (포함 드레싱: 크리미칠리)",10100,https://naverbooking-phinf.pstatic.net/20260727_26/17851103486369PFHO_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,[프로틴] 프레시 잠봉 샌드위치 세트,"잠봉 샌드위치 + 카사바칩 + 코크제로
쫄깃한 통밀 치아바타 속 신선한 잠봉과 토마토에 더블 치즈 풍미가 가득한 잠봉 프로틴 치아바타 샌드위치  (포함 드레싱: 크리미할라피뇨)",11400,https://naverbooking-phinf.pstatic.net/20260727_155/1785110364648NdLJR_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,[프로틴] 바질 레몬 연어 샌드위치 세트,"바질연어 샌드위치 + 카사바칩 + 코크제로
쫄깃한 통밀 치아바타 속 바질 풍미가 가득한 연어와 달콤한 스윗포테이토가 어우러진 연어 프로틴 치아바타 샌드위치 (포함 드레싱: 바질페스토)",12200,https://naverbooking-phinf.pstatic.net/20260727_41/1785110377354ra2V7_PNG/image.png?type=f220_220_60_sharpen
