적용범위,구분,메뉴명,달걀,우유,메밀,땅콩,대두,밀,잣,호두,게,새우,오징어,고등어,"조개류 (굴, 전복, 홍합포함)",복숭아,토마토,닭고기,돼지 고기,소고기,아황산류 (10mg/kg 이상함유)
SALADY,BASE,포케볼,,,,,●,●,,,,,,,,,,,,,
SALADY,BASE,메밀면볼,●,,●,,●,●,,,,,,,,,,,,,
SALADY,BASE,파스타볼,,●,,,●,●,,,,,,,,,,,,,
SALADY,SALADY,탄단지샐러디,●,,,,●,●,,●,,,,●,,,,●,,,
SALADY,SALADY,랜치콥샐러디,●,,,,,,,,,,,,,,●,●,●,,
SALADY,SALADY,로스트닭다리살샐러디,,●,,,●,●,,,,,,,,,●,●,,●,
SALADY,SALADY,그라브락스연어샐러디,●,,,,●,,,,,,,,,,,,,,
SALADY,SALADY,타코쉬림프샐러디,,●,,,●,,,,,●,,,,,,,●,●,
SALADY,SALADY,노릇두부단호박샐러디,,,,,●,,,,,,,,,,,,,,
SALADY,GRAIN BOWL,칠리베이컨포케볼,●,,,,●,●,,,,,,,,,,,●,,
SALADY,GRAIN BOWL,우삼겹포케볼,,,,,●,●,,●,,,,,●,,,,,●,
SALADY,GRAIN BOWL,노릇노릇두부포케볼,,,,,●,,,●,,,,,,,,,,,
SALADY,GRAIN BOWL,바베큐닭다리살포케볼,●,●,,,●,●,,,,,,,,,,●,,●,
SALADY,GRAIN BOWL,그라브락스연어포케볼,,,,,●,●,,,,,,,,,,,,,
SALADY,GRAIN BOWL,로스트삼겹포케볼,,,,,●,●,,,,,,,,,,,●,,
SALADY,GRAIN BOWL,바베큐삼겹덮밥,●,●,,,●,●,,,,,,,●,,,●,●,●,
SALADY,GRAIN BOWL,로스트닭다리살마덮요밥,●,●,,,●,●,,,,,,,●,,,●,,●,●
SALADY,NOODLE BOWL,우삼겹메밀면누들볼,●,,●,,●,●,,●,,,,,●,,,,,●,
SALADY,NOODLE BOWL,그라브락스연어파스타누들볼,,●,,,●,●,,,,,,,,,,,,,
SALADY,NOODLE BOWL,고소삼겹들기름파스타누들볼,,,,,●,●,,,,,,,,,,,●,,
SALADY,NOODLE BOWL,비빔메밀면누들볼,●,,●,,●,●,,,,,,,,,,,,,
SALADY,PROTEIN BOX,닭다리살MAX 프로틴박스,,●,,,●,●,,,,,,,,,,●,,●,
SALADY,PROTEIN BOX,치킨MAX 프로틴파스타,,●,,,●,●,,,,,,,,,,●,●,,
SALADY,PROTEIN BOX,우삼겹MAX 프로틴박스,,,,,●,●,,,,,,,●,,,,,●,
