적용범위,구분,메뉴명,제공량(g),열량(Kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg)
SALADY,BASE,채소볼,80,10.5,1.4,0.5,0.9,0.2,0.0,7.9
SALADY,BASE,포케볼,172,271.1,50.6,0.4,7.9,4.2,0.7,53.0
SALADY,BASE,메밀면볼,164,144.2,25.8,0.4,5.8,1.9,0.3,182.8
SALADY,BASE,파스타볼,164,157.7,28.0,0.4,5.2,2.8,0.3,6.3
SALADY,SALADY,탄단지샐러디,225,322.9,34.3,17.6,17.9,13.1,2.0,225.3
SALADY,SALADY,랜치콥샐러디,217,160.9,6.8,2.3,16.7,7.3,2.0,457.5
SALADY,SALADY,로스트닭다리살샐러디,290,259.2,29.7,12.2,13.2,9.6,3.9,471.9
SALADY,SALADY,그라브락스연어샐러디,235,247.3,7.8,5.1,21.0,14.4,2.7,505.0
SALADY,SALADY,노릇두부단호박샐러디,295,214.6,28.1,12.4,6.8,8.4,1.1,214.9
SALADY,SALADY,타코쉬림프샐러디,230,192.1,11.6,2.9,15.7,9.2,3.0,572.6
SALADY,GRAIN BOWL,칠리베이컨포케볼,297,485.2,61.7,4.5,18.7,18.0,5.9,268.1
SALADY,GRAIN BOWL,그라브락스연어포케볼,302,461.3,62.5,4.4,22.0,14.0,3.1,577.1
SALADY,GRAIN BOWL,로스트삼겹포케볼,307,563.4,65.0,4.6,18.7,26.1,7.7,215.3
SALADY,GRAIN BOWL,우삼겹포케볼,307,618.1,68.0,6.2,21.2,29.8,8.6,226.0
SALADY,GRAIN BOWL,노릇노릇두부포케볼,360,506.6,68.9,4.8,15.7,19.3,2.5,207.8
SALADY,GRAIN BOWL,바베큐닭다리살포케볼,347,557.3,72.5,8.2,26.6,17.7,5.9,586.2
SALADY,GRAIN BOWL,바베큐삼겹덮밥,381,832.1,98.9,11.5,26.1,37.0,8.3,877.1
SALADY,GRAIN BOWL,로스트닭다리살마요덮밥,401,830.0,98.3,11.1,27.8,36.3,7.1,998.1
SALADY,NOODLE BOWL,우삼겹메밀면누들볼,259,406.6,36.1,5.0,18.0,21.2,6.1,350.3
SALADY,NOODLE BOWL,그라브락스연어파스타누들볼,279,346.2,33.3,3.6,20.0,14.4,2.1,609.9
SALADY,NOODLE BOWL,고소삼겹들기름파스타누들볼,296,445.3,42.8,2.8,16.0,24.0,5.9,369.0
SALADY,NOODLE BOWL,비빔메밀면누들볼,246,235.6,30.0,2.2,13.4,6.6,1.8,294.3
SALADY,PROTEIN BOX,닭다리살MAX 프로틴박스,449,758.7,96.6,7.7,43.2,22.3,7.4,885.9
SALADY,PROTEIN BOX,우삼겹MAX 프로틴박스,419,900.7,87.6,11.5,39.4,43.7,16.3,565.4
SALADY,PROTEIN BOX,치킨MAX 프로틴파스타,464,707.9,66.2,6.1,55.1,23.7,6.0,697.0
