메뉴명,기본가격,설명,이미지링크,옵션그룹,필수여부,최대선택수,선택방식,옵션명,추가금액,서빙량,서빙단위,단백질(g)
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 코크제로,0,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 스프라이트제로,0,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 아메리카노 (HOT),0,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 아메리카노 (ICE),0,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 애사비 사과 스파클링,200,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 착즙주스 (그린밀싹),2000,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 착즙주스 (오렌지당근),2000,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,올데이(사이드+음료),필수,1,단일선택,카사바칩 + 착즙주스 (레드클렌즈),2000,,,
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,베이스 추가,선택,2,수량,채소,1000,30.0,%(기본제공량),
고추장 제육 간장메밀 누들볼 세트,13900,"고추장제육 간장메밀 누들볼 + 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",https://naverbooking-phinf.pstatic.net/20260727_249/1785110586082N37Rr_PNG/image.png?type=f459_345_60_sharpen,베이스 추가,선택,2,수량,곡물,1000,50.0,%(기본제공량),
