allergy,base,brand,calorie_calculator,category,default_dressing,description,dressing,dressing_type,id,image_url,included_dressing,menu_type,name_en,name_ko,nav_category,nutrition,nutrition_pdf,recommended_dressing,tags,toppings_text,url,vegetables
[],"파스타면, 채소",salady,"{""name"": ""고추장제육 들기름파스타 누들볼"", ""base_kcal"": 350.7, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",새로운 메뉴,오리엔탈,,"{""name"": ""오리엔탈"", ""type"": """", ""official"": ""오리엔탈""}",,124,https://salady.com:443/superboard/data/product/thumb/2038866161_9VMATkZY_87fd47c51af42620ef50c3426c56befe26dc14bb.png,,main,Gochujang Bulgogi Perilla Oil Pasta,고추장제육 들기름파스타 누들볼,새로운 메뉴,"{""메뉴"": ""고추장제육 들기름파스타 누들볼"", ""열량(kcal)"": ""350.7"", ""탄수화물(g)"": ""48.2"", ""당류(g)"": ""7.5"", ""단백질(g)"": ""17.5"", ""지방(g)"": ""10.5"", ""포화지방(g)"": ""1.8"", ""나트륨(mg)"": ""627.8""}","{""메뉴"": ""고추장제육 들기름파스타 누들볼"", ""열량(kcal)"": ""350.7"", ""탄수화물(g)"": ""48.2"", ""당류(g)"": ""7.5"", ""단백질(g)"": ""17.5"", ""지방(g)"": ""10.5"", ""포화지방(g)"": ""1.8"", ""나트륨(mg)"": ""627.8""}",,"[""NEW""]","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 후리가케, (저당) 들기름소이",https://salady.com/menu/view_1?idx=124&ca_id=,[]
[],"파스타면, 채소",salady,"{""name"": ""고추장제육 간장메밀 누들볼"", ""base_kcal"": 412.1, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",새로운 메뉴,청양간장 소스포함(*별도 드레싱 미제공),,"{""name"": ""청양간장 소스포함"", ""type"": """", ""official"": ""청양간장 소스포함""}",,151,https://salady.com:443/superboard/data/product/thumb/2038866161_E7Vp3YzZ_4a641389599f59609d6fb2f238ee6cc46541bfea.png,,main,Gochujang Bulgogi Soy Buckwheat Noodles,고추장제육 간장메밀 누들볼,새로운 메뉴,"{""메뉴"": ""고추장제육 간장메밀 누들볼"", ""열량(kcal)"": ""412.1"", ""탄수화물(g)"": ""49.2"", ""당류(g)"": ""12.4"", ""단백질(g)"": ""20.2"", ""지방(g)"": ""15.7"", ""포화지방(g)"": ""2.8"", ""나트륨(mg)"": ""1612.0""}","{""메뉴"": ""고추장제육 간장메밀 누들볼"", ""열량(kcal)"": ""412.1"", ""탄수화물(g)"": ""49.2"", ""당류(g)"": ""12.4"", ""단백질(g)"": ""20.2"", ""지방(g)"": ""15.7"", ""포화지방(g)"": ""2.8"", ""나트륨(mg)"": ""1612.0""}",,"[""NEW""]","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 당근라페, 참기름, 청양간장 드레싱",https://salady.com/menu/view_1?idx=151&ca_id=,[]
[],"곡물, 채소",salady,"{""name"": ""고추장제육 포케볼"", ""base_kcal"": 468.8, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",새로운 메뉴,고추장비빔,,"{""name"": ""고추장비빔"", ""type"": """", ""official"": ""고추장비빔""}",,152,https://salady.com:443/superboard/data/product/thumb/2038866161_XO7GjB9N_279a5164fbdc802b490497174bfec770df98699b.png,,main,Gochujang Bulgogi Poke,고추장제육 포케볼,새로운 메뉴,"{""메뉴"": ""고추장제육 포케볼"", ""열량(kcal)"": ""468.8"", ""탄수화물(g)"": ""70.4"", ""당류(g)"": ""9.3"", ""단백질(g)"": ""20.2"", ""지방(g)"": ""12.6"", ""포화지방(g)"": ""3.6"", ""나트륨(mg)"": ""474.1""}","{""메뉴"": ""고추장제육 포케볼"", ""열량(kcal)"": ""468.8"", ""탄수화물(g)"": ""70.4"", ""당류(g)"": ""9.3"", ""단백질(g)"": ""20.2"", ""지방(g)"": ""12.6"", ""포화지방(g)"": ""3.6"", ""나트륨(mg)"": ""474.1""}",,"[""NEW""]","고추장제육, 머쉬룸, 적채, 양파, 옥수수, 양파플레이크, 후리가케",https://salady.com/menu/view_1?idx=152&ca_id=,[]
[],채소,salady,"{""name"": ""불고기 반미 샌드위치"", ""base_kcal"": 578.7, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,크리미칠리,,"{""name"": ""크리미칠리"", ""type"": """", ""official"": ""크리미칠리""}",,149,https://salady.com:443/superboard/data/product/thumb/2038866161_dSxQez2q_d19c59898675900d365a060893ed27ff88b4f663.png,,main,Bulgogi Banh mi Sandwich,불고기 반미 샌드위치,베스트 메뉴,"{""메뉴"": ""불고기 반미 샌드위치"", ""열량(kcal)"": ""578.7"", ""탄수화물(g)"": ""61.3"", ""당류(g)"": ""14.1"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""28.9"", ""포화지방(g)"": ""8.1"", ""나트륨(mg)"": ""899.0""}","{""메뉴"": ""불고기 반미 샌드위치"", ""열량(kcal)"": ""578.7"", ""탄수화물(g)"": ""61.3"", ""당류(g)"": ""14.1"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""28.9"", ""포화지방(g)"": ""8.1"", ""나트륨(mg)"": ""899.0""}",,"[""BEST""]","우삼겹, 양파, 적채, 당근라페, 화이트치즈",https://salady.com/menu/view_1?idx=149&ca_id=,[]
[],채소,salady,"{""name"": ""클래식 치킨 샌드위치"", ""base_kcal"": 469.0, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,시저,,"{""name"": ""시저"", ""type"": """", ""official"": ""시저""}",,125,https://salady.com:443/superboard/data/product/thumb/2038866161_bG8Qzx3Z_1fd1c9399cf04d1ddfc750050b82c464458bde96.png,,main,Classic Chicken Sandwich,클래식 치킨 샌드위치,베스트 메뉴,"{""메뉴"": ""클래식 치킨 샌드위치"", ""열량(kcal)"": ""469.0"", ""탄수화물(g)"": ""60.8"", ""당류(g)"": ""13.3"", ""단백질(g)"": ""17.3"", ""지방(g)"": ""17.8"", ""포화지방(g)"": ""3.4"", ""나트륨(mg)"": ""733.8""}","{""메뉴"": ""클래식 치킨 샌드위치"", ""열량(kcal)"": ""469.0"", ""탄수화물(g)"": ""60.8"", ""당류(g)"": ""13.3"", ""단백질(g)"": ""17.3"", ""지방(g)"": ""17.8"", ""포화지방(g)"": ""3.4"", ""나트륨(mg)"": ""733.8""}",,"[""BEST""]","시즈닝 닭가슴살, 크랜베리, 토마토, 화이트치즈",https://salady.com/menu/view_1?idx=125&ca_id=,[]
[],"곡물, 채소",salady,"{""name"": ""그라브락스 연어 포케볼"", ""base_kcal"": 461.3, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,(저당) 참깨소이,,"{""name"": ""(저당) 참깨소이"", ""type"": """", ""official"": ""(저당) 참깨소이""}",,113,https://salady.com:443/superboard/data/product/thumb/2038866161_lmidSNn9_77de7ed5d9dfc0b939a942e249e86c98236392b5.png,,main,Gravlax Salmon Poke,그라브락스 연어 포케볼,베스트 메뉴,"{""메뉴"": ""그라브락스 연어 포케볼"", ""열량(kcal)"": ""461.3"", ""탄수화물(g)"": ""62.5"", ""당류(g)"": ""4.4"", ""단백질(g)"": ""22.0"", ""지방(g)"": ""14.0"", ""포화지방(g)"": ""3.1"", ""나트륨(mg)"": ""577.1""}","{""메뉴"": ""그라브락스 연어 포케볼"", ""열량(kcal)"": ""461.3"", ""탄수화물(g)"": ""62.5"", ""당류(g)"": ""4.4"", ""단백질(g)"": ""22.0"", ""지방(g)"": ""14.0"", ""포화지방(g)"": ""3.1"", ""나트륨(mg)"": ""577.1""}",,"[""BEST"", ""LOW SUGAR""]","그라브락스 연어, 양파플레이크, 양파, 적채, 후리가케, 옥수수, 엑스트라버진 올리브오일",https://salady.com/menu/view_1?idx=113&ca_id=,[]
[],"곡물, 채소",salady,"{""name"": ""칠리베이컨 곡물랩"", ""base_kcal"": 730.4, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,크리미칠리,,"{""name"": ""크리미칠리"", ""type"": """", ""official"": ""크리미칠리""}",,57,https://salady.com:443/superboard/data/product/thumb/2038866161_buiHj4vQ_dca3231a61b98cfbdd667bee916b51a8cf9a858c.png,,main,Chilli Bacon Grain Wrap,칠리베이컨 곡물랩,베스트 메뉴,"{""메뉴"": ""칠리베이컨 곡물랩"", ""열량(kcal)"": ""730.4"", ""탄수화물(g)"": ""75.5"", ""당류(g)"": ""12.9"", ""단백질(g)"": ""21.5"", ""지방(g)"": ""37.6"", ""포화지방(g)"": ""10.9"", ""나트륨(mg)"": ""1067.1""}","{""메뉴"": ""칠리베이컨 곡물랩"", ""열량(kcal)"": ""730.4"", ""탄수화물(g)"": ""75.5"", ""당류(g)"": ""12.9"", ""단백질(g)"": ""21.5"", ""지방(g)"": ""37.6"", ""포화지방(g)"": ""10.9"", ""나트륨(mg)"": ""1067.1""}",,"[""BEST""]","에그, 칩베이컨, 옥수수, 양파플레이크",https://salady.com/menu/view_1?idx=57&ca_id=,[]
[],채소,salady,"{""name"": ""멕시칸 랩"", ""base_kcal"": 607.4, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 0.0, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,크리미칠리,,"{""name"": ""크리미칠리"", ""type"": """", ""official"": ""크리미칠리""}",,53,https://salady.com:443/superboard/data/product/thumb/2038866161_PhGYkOcZ_cea528eb358900f920ef1e9e9f1abb547cafc6ff.png,,main,Mexican Wrap,멕시칸 랩,베스트 메뉴,"{""메뉴"": ""멕시칸 랩"", ""열량(kcal)"": ""607.4"", ""탄수화물(g)"": ""52.5"", ""당류(g)"": ""10.9"", ""단백질(g)"": ""19.4"", ""지방(g)"": ""35.1"", ""포화지방(g)"": ""9.9"", ""나트륨(mg)"": ""931.2""}","{""메뉴"": ""멕시칸 랩"", ""열량(kcal)"": ""607.4"", ""탄수화물(g)"": ""52.5"", ""당류(g)"": ""10.9"", ""단백질(g)"": ""19.4"", ""지방(g)"": ""35.1"", ""포화지방(g)"": ""9.9"", ""나트륨(mg)"": ""931.2""}",,"[""BEST""]","그라운드비프, 나쵸칩, 사워크림",https://salady.com/menu/view_1?idx=53&ca_id=,[]
[],"곡물, 채소",salady,"{""name"": ""칠리베이컨 포케볼"", ""base_kcal"": 485.2, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,크리미칠리,,"{""name"": ""크리미칠리"", ""type"": """", ""official"": ""크리미칠리""}",,45,https://salady.com:443/superboard/data/product/thumb/2038866161_4cXO37fv_aa7a4de62729d6245568d79483f34173f00a96ba.png,,main,Chilli Bacon Poke,칠리베이컨 포케볼,베스트 메뉴,"{""메뉴"": ""칠리베이컨 포케볼"", ""열량(kcal)"": ""485.2"", ""탄수화물(g)"": ""61.7"", ""당류(g)"": ""4.5"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""18.0"", ""포화지방(g)"": ""5.9"", ""나트륨(mg)"": ""268.1""}","{""메뉴"": ""칠리베이컨 포케볼"", ""열량(kcal)"": ""485.2"", ""탄수화물(g)"": ""61.7"", ""당류(g)"": ""4.5"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""18.0"", ""포화지방(g)"": ""5.9"", ""나트륨(mg)"": ""268.1""}",,"[""BEST""]","찹베이컨, 에그, 옥수수, 양파플레이크, 양파, 적채, 후리가케",https://salady.com/menu/view_1?idx=45&ca_id=,[]
[],채소,salady,"{""name"": ""로스트닭다리살 샐러디"", ""base_kcal"": 259.2, ""addon_kcal"": {""vegetable"": 3.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",베스트 메뉴,크리미할라피뇨,,"{""name"": ""크리미할라피뇨"", ""type"": """", ""official"": ""크리미할라피뇨""}",,62,https://salady.com:443/superboard/data/product/thumb/2038866161_DcRdGeMt_74e2560d1de479977fae4f87a15c937483bec320.png,,main,Roast Chicken Thigh Salady,로스트닭다리살 샐러디,베스트 메뉴,"{""메뉴"": ""로스트닭다리살 샐러디"", ""열량(kcal)"": ""259.2"", ""탄수화물(g)"": ""29.7"", ""당류(g)"": ""12.2"", ""단백질(g)"": ""13.2"", ""지방(g)"": ""9.6"", ""포화지방(g)"": ""3.9"", ""나트륨(mg)"": ""471.9""}","{""메뉴"": ""로스트닭다리살 샐러디"", ""열량(kcal)"": ""259.2"", ""탄수화물(g)"": ""29.7"", ""당류(g)"": ""12.2"", ""단백질(g)"": ""13.2"", ""지방(g)"": ""9.6"", ""포화지방(g)"": ""3.9"", ""나트륨(mg)"": ""471.9""}",,"[""BEST""]","로스트 닭다리살, 단호박, 토마토, 양파, 옥수수, 할라피뇨,양파플레이크",https://salady.com/menu/view_1?idx=62&ca_id=,[]
