화면 ID,화면명,구분,도메인,상태,Figma 링크,Prototype 링크,담당자
SCR-001,홈 (매장·포장),키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=61-273,,"유진, 나연"
SCR-002,먹고가기 / 포장 선택,키오스크,식당,병합됨,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-2,,"유진, 민준"
SCR-003,메뉴 선택,키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-3,,
SCR-004,메뉴 상세 / 옵션 선택,키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-4,,
SCR-005,장바구니·주문확인,키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-6,,
SCR-006,주문 확인,키오스크,식당,병합됨,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-7,,"유진, 하진"
SCR-007,결제,키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-8,,
SCR-008,주문 완료,키오스크,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-9,,
SCR-009,"관리자 주문 관리 ",관리자,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-17,,
SCR-010,"관리자 주문 상세 ",관리자,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-18,,"나연, 하진"
SCR-011,관리자 판매 항목 품절 관리,관리자,식당,와이어프레임,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-19,,
SCR-012,결제 실패 / 재시도 (팝업·토스트),오류예외,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-10,,
SCR-013,타임아웃 안내 / 자동 초기화,오류예외,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-11,,
SCR-014,접근성 설정,공통,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-12,,
SCR-015,관리자 로그인,관리자,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-13,,
SCR-016,관리자 메뉴 관리,관리자,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-14,,
SCR-017,관리자 메뉴 등록/수정,관리자,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-15,,
SCR-018,관리자 결제수단 설정,관리자,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-16,,
SCR-019,관리자 매출 요약,관리자,식당,기획중,https://www.figma.com/design/iqaoVwFjFE6Zq1WpOVgjeG/kiosk_design?node-id=75-23,,
SCR-020,영수증 출력 여부 선택,키오스크,식당,기획중,,,
SCR-021,포인트·쿠폰 적립,키오스크,식당,기획중,,,
,,공통,,,,,
